Mods count: 132
 
jar name                                                                     | mod id (isMCreator)                                      | mixin configs
FantasticWings-v21.10.0+mc1.21.10-Fabric.jar                                 | fantasticwings                                           | fantasticwings.fabric.mixins.json, fantasticwings.common.mixins.json
farmers-cutting-biomes-o-plenty-1.21.10-4.0-fabric.jar                       | mr_farmers_cuttingbiomesoplenty                          | 
FarmersDelight-1.21.10-3.4.1+refabricated.jar                                | farmersdelight                                           | farmersdelight.mixins.json
    /META-INF/jars/Fabric-ASM-v2.3.jar                                       | mm                                                       | mixins.mm.json, mixins.mm.refmap.json
FastItemFrames-v21.10.0+mc1.21.10-Fabric.jar                                 | fastitemframes                                           | fastitemframes.common.mixins.json, fastitemframes.fabric.mixins.json
FastLeafDecay-Fabric-36.jar                                                  | fastleafdecay                                            | fastleafdecay.mixins.json, fastleafdecay.fabric.mixins.json
ferritecore-8.0.2-fabric.jar                                                 | ferritecore                                              | ferritecore.threaddetec.mixin.json, ferritecore.blockstatecache.mixin.json, ferritecore.accessors.mixin.json, ferritecore.fastmap.mixin.json
fish_of_thieves-mc1.21.10-v21.10.0.0-fabric.jar                              | fishofthieves                                            | mixins.fish_of_thieves_fabric.json, mixins.fish_of_thieves_fabric.refmap.json, mixins.fish_of_thieves.refmap.json, mixins.fish_of_thieves.json
    /META-INF/jars/Fabric-ASM-v2.3.jar                                       | mm                                                       | mixins.mm.json, mixins.mm.refmap.json
ForgeConfigAPIPort-v21.10.1+mc1.21.10-Fabric.jar                             | forgeconfigapiport                                       | forgeconfigapiport.fabric.mixins.json, forgeconfigapiport.common.mixins.json
    /META-INF/jars/core-3.8.3.jar                                            | com_electronwill_night-config_core                       | 
    /META-INF/jars/toml-3.8.3.jar                                            | com_electronwill_night-config_toml                       | 
framework-fabric-1.21.10-0.13.2.jar                                          | framework                                                | framework.common.mixins.json, framework.fabric.mixins.json
    /META-INF/jars/core-3.7.1.jar                                            | com_electronwill_night-config_core                       | 
    /META-INF/jars/javassist-3.29.2-GA.jar                                   | org_javassist_javassist                                  | 
    /META-INF/jars/reflections-0.10.2.jar                                    | org_reflections_reflections                              | 
    /META-INF/jars/toml-3.7.1.jar                                            | com_electronwill_night-config_toml                       | 
frightsdelight-fabric-1.21.10-1.4.1.jar                                      | frightsdelight                                           | frightsdelight.mixins.json, frightsdelight-common.mixins.json
    /META-INF/jars/midnightlib-1.8.3+1.21.9-fabric.jar                       | midnightlib                                              | midnightlib.mixins.json
FrozenLib-2.2.3-mc1.21.10.jar                                                | frozenlib                                                | mixin/frozenlib.recipe.mixins.json, mixin/frozenlib.item.mixins.json, mixin/frozenlib.gravity.mixins.json, mixin/frozenlib.advancement.mixins.json, mixin/frozenlib.clothconfig.mixins.json, mixin/frozenlib_quiltmc_registry.mixins.json, mixin/frozenlib.tag.mixins.json, mixin/frozenlib.render.mixins.json, mixin/frozenlib.menu.mixins.json, mixin/frozenlib.modmenu.mixins.json, mixin/frozenlib.resource_pack.mixins.json, mixin/frozenlib.particle.mixins.json, mixin/frozenlib.block.mixins.json, mixin/frozenlib.feature_flag.mixins.json, mixin/frozenlib.worldgen.biome.mixins.json, mixin/frozenlib.texture.mixins.json, mixin/frozenlib_quiltmc_datafixerupper.mixins.json, mixin/frozenlib.event.mixins.json, mixin/frozenlib.sound.mixins.json, mixin/frozenlib.worldgen.surface.mixins.json, mixin/frozenlib.screenshake.mixins.json, mixin/frozenlib.spotting_icons.mixins.json, mixin/frozenlib.wind.mixins.json, mixin/frozenlib.worldgen.structure.mixins.json, mixin/frozenlib.debug.mixins.json, mixin/frozenlib.core.mixins.json, mixin/frozenlib.loot.mixins.json, mixin/frozenlib.music.mixins.json, mixin/frozenlib_quiltmc_resource_loader.mixins.json, mixin/frozenlib.cape.mixins.json, mixin/frozenlib.entity.mixins.json
fusion-1.2.11-fabric-mc1.21.9.jar                                            | fusion                                                   | fusion.mixins.json, fusion.mixins.refmap.json
fzzy_config-0.7.3+1.21.9.jar                                                 | fzzy_config                                              | 
    /META-INF/jars/fabric-permissions-api-0.4.0.jar                          | fabric-permissions-api-v0                                | 
    /META-INF/jars/jankson-1.2.3.jar                                         | blue_endless_jankson                                     | 
    /META-INF/jars/tomlkt-jvm-0.3.7.jar                                      | net_peanuuutz_tomlkt_tomlkt-jvm                          | 
GlitchCore-fabric-1.21.10-21.10.0.4.jar                                      | glitchcore                                               | glitchcore.mixins.json, glitchcore.fabric.mixins.json
    /META-INF/jars/core-3.6.7.jar                                            | com_electronwill_night-config_core                       | 
    /META-INF/jars/toml-3.6.7.jar                                            | com_electronwill_night-config_toml                       | 
    /META-INF/jars/typetools-0.6.3.jar                                       | net_jodah_typetools                                      | 
graves-3.9.1+1.21.9.jar                                                      | universal-graves                                         | universal-graves.mixins.json
    /META-INF/jars/common-protection-api-1.0.0.jar                           | common-protection-api                                    | 
    /META-INF/jars/fabric-permissions-api-0.4.2-patbox.1.jar                 | fabric-permissions-api-v0                                | 
    /META-INF/jars/placeholder-api-2.8.0+1.21.9.jar                          | placeholder-api                                          | 
    /META-INF/jars/polymer-core-0.14.0+1.21.9.jar                            | polymer-core                                             | polymer-core.mixins.json
        /META-INF/jars/polymer-networking-0.14.0+1.21.9.jar                  | polymer-networking                                       | polymer-networking.mixins.json
            /META-INF/jars/polymer-common-0.14.0+1.21.9.jar                  | polymer-common                                           | polymer-common.mixins.json
                /META-INF/jars/packet-tweaker-0.6.0-pre.1+1.21.2-pre3.jar    | packet_tweaker                                           | packettweaker.mixins.json
        /META-INF/jars/polymer-reg-sync-manipulator-0.14.0+1.21.9.jar        | polymer-registry-sync-manipulator                        | polymer-rsm.mixins.json
    /META-INF/jars/polymer-resource-pack-0.14.0+1.21.9.jar                   | polymer-resource-pack                                    | polymer-resource-pack.mixins.json
        /META-INF/jars/polymer-common-0.14.0+1.21.9.jar                      | polymer-common                                           | polymer-common.mixins.json
            /META-INF/jars/packet-tweaker-0.6.0-pre.1+1.21.2-pre3.jar        | packet_tweaker                                           | packettweaker.mixins.json
    /META-INF/jars/polymer-virtual-entity-0.14.0+1.21.9.jar                  | polymer-virtual-entity                                   | polymer-virtual-entity.mixins.json
        /META-INF/jars/polymer-common-0.14.0+1.21.9.jar                      | polymer-common                                           | polymer-common.mixins.json
            /META-INF/jars/packet-tweaker-0.6.0-pre.1+1.21.2-pre3.jar        | packet_tweaker                                           | packettweaker.mixins.json
    /META-INF/jars/predicate-api-0.6.1+1.21.9.jar                            | predicate-api                                            | 
    /META-INF/jars/server-translations-api-2.5.2+1.21.9-pre3.jar             | server_translations_api                                  | server_translations_api.mixin.json
        /META-INF/jars/packet-tweaker-0.6.0-pre.1+1.21.2-pre3.jar            | packet_tweaker                                           | packettweaker.mixins.json
